ax,ay,az,gx,gy,gz,mx,my,mz
0.01,0.97,0.02,-0.61,0.06,-0.31,211.00,73.00,317.00
0.01,0.98,0.02,0.61,0.37,-0.43,209.00,74.00,313.00
0.01,0.98,0.02,0.31,0.00,-0.43,213.00,75.00,316.00
0.01,0.98,0.02,-1.89,0.06,-0.12,211.00,75.00,318.00
0.01,0.98,0.02,-1.22,0.06,-0.24,211.00,73.00,319.00
0.01,0.98,0.02,-0.37,0.18,-0.12,210.00,72.00,320.00
0.01,0.97,0.02,-0.43,0.12,-0.18,209.00,75.00,318.00
0.01,0.98,0.02,-0.67,0.18,-0.24,212.00,75.00,318.00
0.01,0.98,0.02,0.12,0.12,-0.37,210.00,73.00,314.00
0.01,0.98,0.02,0.24,0.18,-0.24,211.00,74.00,319.00
0.01,0.98,0.02,0.12,0.12,-0.31,212.00,75.00,317.00
0.01,0.98,0.02,-0.37,-0.79,-0.31,212.00,75.00,317.00
0.01,0.97,0.02,2.56,3.11,-0.85,211.00,76.00,320.00
0.01,0.97,0.03,2.26,1.28,-0.79,210.00,74.00,318.00
0.01,0.98,0.02,-2.20,0.31,-0.31,210.00,71.00,315.00
0.01,0.97,0.02,0.61,0.67,-0.67,210.00,74.00,315.00
0.01,0.98,0.02,-0.92,-1.28,-0.92,211.00,73.00,321.00
0.01,0.97,0.02,-1.04,-1.83,0.61,212.00,77.00,321.00
0.01,0.97,0.02,1.22,-1.10,-0.49,214.00,78.00,320.00
0.01,0.98,0.02,-0.06,0.00,-0.37,214.00,79.00,325.00
0.01,0.98,0.02,-1.40,-0.18,-0.37,216.00,80.00,328.00
-0.01,0.97,0.02,-0.43,-1.83,0.06,213.00,78.00,325.00
0.01,0.97,0.02,0.43,0.18,-0.61,214.00,79.00,323.00
0.01,0.98,0.02,1.95,2.81,-0.55,215.00,76.00,323.00
0.01,0.97,0.02,-0.18,0.79,-0.18,214.00,76.00,324.00
0.01,0.98,0.02,-0.37,-0.79,-0.18,213.00,78.00,323.00
0.01,0.98,0.02,1.10,0.49,-0.06,215.00,78.00,327.00
0.01,0.98,0.02,0.98,0.79,-0.43,212.00,77.00,326.00
0.01,0.98,0.03,-0.73,0.67,-0.31,213.00,79.00,322.00
0.01,0.97,0.02,-0.37,0.55,-0.37,213.00,76.00,324.00
0.01,0.98,0.02,-0.73,-1.16,-0.18,213.00,78.00,324.00
0.01,0.98,0.02,-1.53,-0.31,0.12,214.00,77.00,317.00
0.01,0.98,0.02,-1.16,0.37,-0.06,213.00,76.00,322.00
0.01,0.98,0.02,-0.49,-0.61,-0.85,213.00,77.00,322.00
0.01,0.98,0.02,-1.28,0.18,0.06,212.00,77.00,322.00
0.01,0.98,0.02,0.12,0.61,-0.18,213.00,77.00,321.00
0.01,0.97,0.02,-0.73,-0.12,-0.98,214.00,76.00,326.00
0.01,0.98,0.02,0.18,0.37,-0.12,212.00,74.00,321.00
0.01,0.98,0.02,-0.37,0.18,-0.24,211.00,75.00,326.00
0.01,0.98,0.02,-0.67,0.37,-0.06,212.00,75.00,323.00
0.01,0.98,0.02,-0.06,0.18,-0.43,212.00,78.00,323.00
0.01,0.97,0.02,-0.73,-0.06,0.00,210.00,74.00,318.00
0.01,0.98,0.02,-0.49,-0.31,-0.12,211.00,78.00,323.00
0.01,0.97,0.02,-0.73,0.12,-0.06,211.00,76.00,327.00
0.01,0.98,0.02,0.55,0.31,-0.18,213.00,75.00,322.00
0.01,0.98,0.03,-1.10,0.12,-0.24,208.00,78.00,317.00
0.01,0.98,0.02,-0.85,0.18,-0.06,212.00,77.00,323.00
0.01,0.98,0.02,-1.16,0.12,-0.12,212.00,77.00,322.00
0.01,0.98,0.02,0.12,0.12,-0.24,211.00,74.00,323.00
0.01,0.98,0.02,-0.18,0.24,-0.18,211.00,77.00,324.00
0.01,0.98,0.02,0.43,0.37,0.00,212.00,76.00,323.00
0.01,0.98,0.03,-0.12,0.43,-0.43,209.00,74.00,320.00
0.01,0.98,0.03,-0.73,0.18,-0.49,211.00,73.00,323.00
0.01,0.98,0.03,-0.24,0.31,-0.37,210.00,75.00,324.00
0.01,0.98,0.02,-0.67,-0.61,-0.06,212.00,76.00,320.00
0.01,0.98,0.03,-0.43,-0.06,-0.18,211.00,75.00,321.00
0.01,0.98,0.02,-0.18,-0.12,-0.12,210.00,80.00,324.00
0.01,0.98,0.02,0.37,-0.24,-0.37,213.00,75.00,323.00
0.01,0.98,0.02,-0.24,0.24,-0.31,211.00,78.00,322.00
0.01,0.98,0.03,-0.92,0.00,0.00,211.00,77.00,319.00
0.01,0.98,0.02,-1.16,0.37,-0.18,211.00,78.00,321.00
0.01,0.97,0.02,-1.04,0.06,-0.24,213.00,77.00,321.00
0.01,0.98,0.02,-1.22,-0.12,-0.37,212.00,79.00,323.00
0.01,0.98,0.03,-0.49,0.18,-0.49,213.00,76.00,322.00
0.01,0.97,0.03,-0.67,0.31,-0.31,211.00,76.00,321.00
0.01,0.98,0.02,-1.95,-0.31,0.12,211.00,75.00,324.00
0.01,0.98,0.02,-0.73,0.00,-0.06,212.00,75.00,320.00
0.01,0.98,0.02,0.00,0.24,-0.18,209.00,75.00,321.00
0.01,0.98,0.02,-0.24,-0.12,-0.49,212.00,76.00,324.00
0.01,0.97,0.02,0.55,1.10,-0.12,211.00,75.00,324.00
0.01,0.98,0.02,-0.79,0.12,-0.12,211.00,75.00,316.00
0.01,0.98,0.02,-0.73,0.00,-0.24,212.00,78.00,321.00
0.01,0.98,0.02,0.67,0.31,-0.24,211.00,77.00,321.00
0.01,0.98,0.02,-0.24,0.37,-0.31,211.00,77.00,322.00
0.01,0.98,0.02,-1.28,-0.06,-0.18,212.00,74.00,324.00
0.01,0.98,0.02,-0.73,0.12,-0.24,212.00,76.00,322.00
0.01,0.98,0.02,0.49,0.55,-0.24,212.00,76.00,319.00
0.01,0.98,0.02,-0.06,0.12,-0.18,212.00,75.00,318.00
0.01,0.98,0.02,-0.85,0.18,-0.24,210.00,78.00,320.00
0.01,0.98,0.02,-0.98,0.00,-0.31,211.00,76.00,320.00
0.01,0.98,0.02,-0.31,-0.12,-0.31,212.00,78.00,324.00
0.01,0.98,0.02,0.24,0.24,-0.24,211.00,76.00,320.00
0.01,0.98,0.02,-0.18,0.31,-0.31,212.00,75.00,325.00
0.01,0.97,0.02,0.00,0.24,-0.18,213.00,75.00,320.00
0.01,0.98,0.02,0.31,0.12,-0.24,210.00,76.00,323.00
0.01,0.98,0.02,-0.67,0.18,-0.31,211.00,76.00,319.00
0.01,0.98,0.02,0.55,0.12,-0.49,212.00,77.00,320.00
0.01,0.98,0.02,-0.79,0.12,-0.12,213.00,74.00,323.00
0.01,0.98,0.02,-1.59,-0.18,-0.24,212.00,77.00,319.00
0.01,0.98,0.02,-0.06,0.00,-0.18,211.00,75.00,321.00
0.01,0.98,0.02,0.43,0.31,-0.12,211.00,77.00,320.00
0.01,0.98,0.02,-1.95,0.12,-0.18,212.00,76.00,318.00
0.01,0.98,0.02,0.06,0.24,-0.18,212.00,78.00,322.00
0.01,0.98,0.02,-0.49,0.24,-0.24,211.00,76.00,323.00
0.01,0.98,0.02,0.31,0.18,-0.24,212.00,78.00,323.00
0.01,0.98,0.02,-1.16,0.18,-0.12,210.00,77.00,319.00
0.01,0.98,0.02,-0.12,0.24,-0.31,211.00,78.00,322.00
0.01,0.97,0.02,-0.12,0.49,-0.18,213.00,78.00,326.00
0.01,0.98,0.02,-0.55,0.12,-0.18,212.00,76.00,324.00
0.01,0.98,0.02,0.55,0.79,-0.06,210.00,77.00,318.00
0.01,0.98,0.02,0.98,0.61,-0.37,211.00,76.00,326.00
0.01,0.98,0.02,0.00,0.00,-0.18,209.00,76.00,321.00
0.01,0.98,0.02,0.98,0.31,-0.43,213.00,77.00,322.00
0.01,0.98,0.02,0.06,0.18,-0.31,212.00,75.00,325.00
0.01,0.98,0.02,-0.67,0.18,-0.24,212.00,78.00,325.00
0.01,0.98,0.02,-1.53,0.24,-0.31,213.00,77.00,321.00
0.01,0.98,0.02,-2.14,0.12,-0.12,211.00,77.00,324.00
0.01,0.97,0.02,-0.55,0.24,-0.24,212.00,78.00,318.00
0.01,0.98,0.02,0.31,0.31,-0.24,213.00,77.00,328.00
0.01,0.98,0.02,0.00,0.24,-0.24,212.00,76.00,320.00
0.01,0.97,0.02,-1.83,0.00,-0.18,208.00,74.00,319.00
0.01,0.98,0.02,-1.77,0.18,0.06,213.00,76.00,320.00
0.01,0.98,0.02,-1.77,0.12,-0.06,211.00,79.00,323.00
0.01,0.98,0.02,-2.14,-0.06,-0.24,214.00,75.00,322.00
0.01,0.98,0.02,-1.83,0.12,-0.18,212.00,76.00,322.00
0.01,0.98,0.02,-2.62,0.12,-0.24,211.00,75.00,324.00
0.01,0.98,0.02,-1.16,0.12,-0.31,212.00,75.00,317.00
0.01,0.98,0.02,-1.28,0.18,-0.31,213.00,76.00,321.00
0.01,0.98,0.02,-1.04,0.18,-0.12,214.00,77.00,324.00
0.01,0.98,0.02,-0.31,0.06,-0.24,213.00,75.00,322.00
0.01,0.97,0.02,-0.61,0.18,-0.24,213.00,78.00,320.00
0.01,0.98,0.02,-0.24,0.24,-0.18,212.00,75.00,320.00
