ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.09,0.03,-0.49,-0.12,-0.24,-13.00,27.00,-48.00
1.00,-0.09,0.03,0.00,0.18,-0.43,-13.00,26.00,-48.00
1.00,-0.10,0.03,-0.55,-0.31,-0.55,-10.00,26.00,-47.00
1.00,-0.10,0.02,-1.59,0.18,-0.24,-11.00,25.00,-45.00
1.00,-0.10,0.03,-0.43,-0.18,-0.55,-13.00,25.00,-51.00
1.00,-0.10,0.03,-0.85,0.37,-0.31,-10.00,26.00,-48.00
1.00,-0.09,0.03,-1.10,0.06,0.12,-13.00,27.00,-49.00
1.00,-0.10,0.03,-1.59,0.37,-0.12,-11.00,25.00,-54.00
1.00,-0.10,0.03,-0.67,0.67,0.12,-14.00,26.00,-47.00
1.00,-0.09,0.02,1.40,-1.10,-0.43,-12.00,26.00,-46.00
1.00,-0.10,0.04,-0.31,0.79,-0.61,-12.00,27.00,-51.00
1.00,-0.09,0.03,-1.10,0.49,0.18,-11.00,23.00,-52.00
1.00,-0.09,0.02,-0.92,0.43,-0.18,-15.00,25.00,-51.00
1.00,-0.09,0.02,-0.98,0.06,0.43,-13.00,24.00,-48.00
1.00,-0.09,0.02,-0.43,0.92,0.37,-11.00,26.00,-50.00
1.00,-0.09,0.03,-0.12,0.00,0.37,-12.00,24.00,-50.00
1.00,-0.09,0.02,-1.40,0.37,0.85,-12.00,25.00,-46.00
1.00,-0.09,0.02,0.73,0.55,-0.67,-12.00,23.00,-47.00
1.00,-0.09,0.02,-0.73,0.55,-0.37,-11.00,24.00,-47.00
1.00,-0.09,0.02,0.67,0.24,-0.79,-11.00,25.00,-50.00
1.00,-0.09,0.02,-0.49,-0.49,0.12,-12.00,25.00,-51.00
1.00,-0.09,0.02,-0.24,-0.06,-0.55,-15.00,25.00,-53.00
1.00,-0.10,0.03,-2.32,0.24,1.22,-13.00,24.00,-50.00
1.00,-0.09,0.02,-1.16,0.31,0.18,-11.00,22.00,-50.00
1.00,-0.09,0.02,-0.55,0.92,0.18,-10.00,25.00,-50.00
1.00,-0.09,0.03,-0.73,0.24,-0.18,-11.00,25.00,-53.00
1.00,-0.09,0.03,0.43,0.43,-0.73,-14.00,21.00,-50.00
1.00,-0.09,0.03,-0.06,-0.55,-0.55,-12.00,23.00,-48.00
1.00,-0.09,0.02,0.00,0.18,-0.37,-10.00,23.00,-52.00
1.00,-0.09,0.02,-0.06,0.37,-0.49,-13.00,24.00,-52.00
1.00,-0.09,0.02,0.06,0.24,-0.61,-13.00,25.00,-49.00
1.00,-0.08,0.02,-0.79,0.31,0.24,-14.00,25.00,-50.00
1.00,-0.09,0.02,-0.31,-0.06,-0.37,-12.00,22.00,-52.00
1.00,-0.09,0.02,-0.43,0.06,-0.31,-13.00,27.00,-50.00
1.00,-0.09,0.02,-0.79,0.31,-0.12,-13.00,23.00,-48.00
